date,customers,employees,operating_hours,land_area_m2,building_area_m2,sales_area_m2,revenue,cogs,electricity_kwh,water_m3,fuel_liters,packaging_kg,cleaning_material_kg,waste_kg,electricity_price,water_price,fuel_price,electricity_cost,water_cost,fuel_cost,packaging_cost,cleaning_cost,total_resource_cost,salary_expense,rent_and_maintenance,other_operating_expense,operating_expenses,gross_profit,operating_profit,tax,net_profit,land_value,building_value,equipment_value,inventory,cash,accounts_receivable,total_assets,bank_loan,accounts_payable,total_liabilities,total_equity,electricity_per_customer,water_per_customer,revenue_per_square_meter,electricity_per_square_meter,resource_cost_percentage
2024-01-01,21090,51,13.295835055926347,5000,3500,2500,13781932.91,8684493.50652443,143446.15,1882.69,4131.33,1085.35,152.84,1052.92,9.583158087451697,35.11353644767419,94.16071774471699,1374667.1324863092,66107.90393467173,389008.99804028164,77198.24290580167,19948.314074640006,1926930.5914417042,1428000,553261.7266455023,158023.37456616422,4066215.692653371,5097439.40347557,1031223.7108221985,206244.74216443973,824978.9686577588,15000000,25000000,5000000,1302674.0259786646,2756386.5820000004,689096.6455000001,49748157.25347866,12000000,694759.4805219545,12694759.480521955,37053397.77295671,6.801619250829777,0.08926932195353249,5512.773164,40.98461428571429,13.981569958474745
2024-02-01,20937,48,12.873687420594125,5000,3500,2500,13358637.32,8505650.376399027,153460.1,1837.58,4353.46,452.71,105.85,1095.03,9.579236285589108,39.68660641994126,92.82181739585641,1470030.5583101332,72927.31422515567,404096.0691601651,39519.0693390885,14575.283614606888,2001148.294649149,1344000,524247.05036347295,202451.13895702548,4071846.4839696474,4852986.943600973,781140.4596313257,156228.09192626513,624912.3677050605,15000000,25000000,5000000,1275847.5564598541,2671727.464,667931.866,49615506.88645985,12000000,680452.0301119222,12680452.030111922,36935054.856347926,7.329612647466209,0.08776711085637866,5343.454928,43.84574285714286,14.980182833866687
2024-03-01,20967,57,13.835558684167138,5000,3500,2500,13705507.93,8642976.032356884,145100.95,1907.38,4295.67,836.78,151.38,1104.73,8.18241220609738,35.56303275681837,96.95547607409974,1187275.7843963257,67832.21741970023,416488.72990722803,72178.98612839733,19946.93710641592,1763722.6549580672,1596000,526924.3230949381,191039.68269896615,4077686.6607519714,5062531.897643115,984845.236891144,196969.0473782288,787876.1895129152,15000000,25000000,5000000,1296446.4048535326,2741101.586,685275.3965,49722823.38735353,12000000,691438.0825885508,12691438.082588552,37031385.30476498,6.920444031096485,0.09097057280488387,5482.2031719999995,41.457414285714286,12.86871427141677
2024-04-01,21009,59,12.418481581956126,5000,3500,2500,11985576.59,7494846.546524335,145772.25,1931.57,4162.51,493.41,162.99,950.13,8.988840609405162,36.18817916268072,95.3002834203908,1310323.5205243616,69900.0012252592,396688.3827402109,44404.11394352219,21697.921126219426,1843013.9395595733,1652000,537728.4163104623,248237.86169086065,4280980.217560897,4490730.043475665,209749.8259147685,41949.9651829537,167799.8607318148,15000000,25000000,5000000,1124226.9819786502,2397115.318,599278.8295,49120621.12947864,12000000,599587.7237219468,12599587.723721948,36521033.4057567,6.938562044837926,0.09194012090056643,4794.230636,41.64921428571429,15.376931812335727
2024-05-01,20176,55,12.876433945605655,5000,3500,2500,12937116.0,8114652.735491372,142474.02,1798.56,3902.38,635.37,118.96,1093.19,8.115117520033289,36.17526246777105,98.75484167776308,1156193.4158515732,65063.380064034296,385378.9190664691,57140.562943432946,17501.96154890929,1681278.239474419,1540000,502007.11977777263,161203.89021680524,3884489.2494689967,4822463.264508628,937974.0150396316,187594.80300792633,750379.2120317053,15000000,25000000,5000000,1217197.9103237058,2587423.2,646855.8,49451476.91032371,12000000,649172.2188393098,12649172.21883931,36802304.6914844,7.061559278350515,0.08914353687549563,5174.8464,40.70686285714285,12.995773087869189
2024-06-01,20824,52,13.099085529881075,5000,3500,2500,13833060.49,8958936.338042263,136964.96,1861.1,3787.21,892.18,128.81,1101.64,9.09905776464747,41.49210302116064,91.16601955447477,1246252.0827726303,77220.95293268206,345264.8609169024,72363.50118209104,16802.96360121814,1757904.361405524,1456000,532207.9165583178,189785.55990457415,3935897.8378684158,4874124.151957737,938226.3140893215,187645.2628178643,750581.0512714572,15000000,25000000,5000000,1343840.4507063394,2766612.098,691653.0245,49802105.573206335,12000000,716714.907043381,12716714.90704338,37085390.66616295,6.577264694583173,0.08937283903188628,5533.224196,39.132845714285715,12.70799301916104
2024-07-01,21031,57,13.368209952651108,5000,3500,2500,14913413.59,9430944.830608891,151015.64,1912.6,4070.85,745.73,77.67,1139.54,8.883061002746754,42.46044879265423,104.6159221149925,1341481.1424888428,81209.85436083049,425875.7265418172,63670.23970245125,10518.046908691276,1922755.010002633,1596000,521144.80069965444,246947.0433275369,4286846.854029825,5482468.7593911085,1195621.9053612836,239124.3810722567,956497.5242890269,15000000,25000000,5000000,1414641.7245913337,2982682.7180000003,745670.6795000001,50142995.12209134,12000000,754475.5864487113,12754475.58644871,37388519.535642624,7.180620988065238,0.09094194284627455,5965.365436,43.14732571428572,12.892789423421558
2024-08-01,22245,49,14.35552788417904,5000,3500,2500,13998093.16,8984762.766219873,149555.87,1820.57,4493.7,616.91,102.01,1156.52,9.775408365516599,40.8336876509716,104.79316116719404,1461969.7027101128,74340.58672672937,470909.02833701984,54840.40852843537,14639.413314891723,2076699.1396171888,1372000,532749.7352177915,236550.71258939803,4217999.587424379,5013330.393780127,795330.8063557483,159066.16127114967,636264.6450845987,15000000,25000000,5000000,1347714.414932981,2799618.632,699904.658,49847237.70493298,12000000,718781.0212975899,12718781.021297589,37128456.68363539,6.723122948977298,0.0818417621937514,5599.237264,42.73024857142857,14.83558593217127
2024-09-01,21715,51,12.599021346475078,5000,3500,2500,13412492.46,8720870.146174474,146627.15,1998.63,4290.72,652.73,122.45,992.18,8.701830025104158,44.62172548474542,100.47242571029618,1275924.536365451,89182.31920557674,431099.04644368205,56782.906826337334,16150.699910857185,1869139.5087519046,1428000,511976.2131819251,231707.207094928,4040822.9290287574,4691622.313825527,650799.3847967698,130159.87695935398,520639.50783741585,15000000,25000000,5000000,1308130.521926171,2682498.4920000006,670624.6230000001,49661253.636926174,12000000,697669.6116939579,12697669.611693958,36963584.02523222,6.752344001842045,0.09203914344922864,5364.996984,41.893471428571424,13.93581032254988
2024-10-01,20139,54,13.542703315240836,5000,3500,2500,12686154.6,8390923.18386196,138903.68,1870.03,3799.69,806.8,110.04,971.26,8.234134032855211,38.74870579523704,98.04144549516181,1143751.5187768296,72461.24229826713,372527.1000335114,60467.208969728235,15258.432614792258,1664465.5026931288,1512000,589052.7280739895,175790.282704494,3941308.5134716122,4295231.41613804,353922.90266642766,70784.58053328554,283138.32213314215,15000000,25000000,5000000,1258638.477579294,2537230.92,634307.73,49430177.127579294,12000000,671273.8547089568,12671273.854708957,36758903.27287034,6.897248125527583,0.09285614975917374,5074.46184,39.68676571428571,13.120331220724118
